Project_ID	Original_Sequence_ID	Year	Country_abbr	Country_Eng	Region_Kor	Region_Eng	Region_Abbr	Final_Haplogroup	Q0	Q1	Source_Group
K-1-2014	n	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-10-2014	K10	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-11-2014	K11	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-12-2014	K12	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-13-2014	K13	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-14-2014	K14	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-15-2014	K15	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-16-2014	K16	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-17-2014	K17	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-18-2014	K18	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-19-2014	K19	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-20-2014	K20	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-3-2014	K3	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-31-2014	K31	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-34-2014	K34	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-35-2014	K35	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-36-2014	K36	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-37-2014	K37	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-39-2014	K39	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-6-2014	K6	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-8-2014	K8	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
K-9-2014	K9	2014.0	KR	Rep. Korea	의성/영양/인제/연천		K1~K39	K	0.99999	1e-05	Korean_Project
KBH-1-2018	KBH-1	2018.0	KR	Rep. Korea	걍상북도 봉화	Gyeongsangnam-do	KBH	K	0.99999	1e-05	Korean_Project
KBH-10-2018	KBH-10	2018.0	KR	Rep. Korea	걍상북도 봉화	Gyeongsangbuk-do	KBH	K	0.99999	1e-05	Korean_Project
KBH-2-2018	KBH-2	2018.0	KR	Rep. Korea	걍상북도 봉화	Gyeongsangbuk-do	KBH	K	0.996665	0.003335	Korean_Project
KBH-3-2018	KBH-3	2018.0	KR	Rep. Korea	걍상북도 봉화	Gyeongsangbuk-do	KBH	K	0.996954	0.003046	Korean_Project
KBH-4-2018	KBH-4	2018.0	KR	Rep. Korea	걍상북도 봉화	Gyeongsangbuk-do	KBH	K	0.99999	1e-05	Korean_Project
KBH-5-2018	KBH-5	2018.0	KR	Rep. Korea	걍상북도 봉화	Gyeongsangbuk-do	KBH	K	0.99999	1e-05	Korean_Project
KBH-6-2018	KBH-6	2018.0	KR	Rep. Korea	걍상북도 봉화	Gyeongsangbuk-do	KBH	K	0.99999	1e-05	Korean_Project
KBH-7-2018	KBH-7	2018.0	KR	Rep. Korea	걍상북도 봉화	Gyeongsangbuk-do	KBH	K	0.99999	1e-05	Korean_Project
KBH-8-2018	KBH-8	2018.0	KR	Rep. Korea	걍상북도 봉화	Gyeongsangbuk-do	KBH	K	0.99999	1e-05	Korean_Project
KBH-9-2018	KBH-9	2018.0	KR	Rep. Korea	걍상북도 봉화	Gyeongsangbuk-do	KBH	K	0.99999	1e-05	Korean_Project
