NCBI_ID	Title
OL944305.1	UNVERIFIED: Apis cerana mitochondrion sequence
PV088921.1	Apis cerana mitochondrion, complete genome
AP017942.1	Apis cerana indica mitochondrial DNA, complete genome
OR936096.1	Apis cerana isolate GH-2021 haplogroup K mitochondrion, complete genome
AP018368.1	Apis cerana indica mitochondrial DNA, complete genome
AP018450.1	Apis cerana mitochondrial DNA, complete genome, country: Russia
PP692293.1	Apis cerana cerana mitochondrion, complete genome
CM077319.1	Apis cerana isolate B1952 mitochondrion, whole genome shotgun sequence
PP175371.1	Apis cerana isolate SYAC mitochondrion, complete genome
PP175370.1	Apis cerana isolate YGPAC mitochondrion, complete genome
XM_062086795.1	PREDICTED: Apis cerana neural-cadherin (LOC107999759), transcript variant X6, mRNA
XM_062086794.1	PREDICTED: Apis cerana neural-cadherin (LOC107999759), transcript variant X5, mRNA
XM_062086792.1	PREDICTED: Apis cerana neural-cadherin (LOC107999759), transcript variant X4, mRNA
XM_062086791.1	PREDICTED: Apis cerana neural-cadherin (LOC107999759), transcript variant X3, mRNA
XM_062086790.1	PREDICTED: Apis cerana neural-cadherin (LOC107999759), transcript variant X2, mRNA
XM_062086789.1	PREDICTED: Apis cerana neural-cadherin (LOC107999759), transcript variant X1, mRNA
XR_009833206.1	PREDICTED: Apis cerana uncharacterized LOC133667516 (LOC133667516), ncRNA
XR_001766528.3	PREDICTED: Apis cerana uncharacterized LOC108000396 (LOC108000396), transcript variant X5, ncRNA
XM_062086658.1	PREDICTED: Apis cerana uncharacterized LOC108000251 (LOC108000251), mRNA
XM_062086624.1	PREDICTED: Apis cerana sorbin and SH3 domain-containing protein 1 (LOC108000332), transcript variant X18, mRNA
XM_017060546.3	PREDICTED: Apis cerana homeobox protein abdominal-A homolog (LOC108000309), transcript variant X2, mRNA
XM_028667954.2	PREDICTED: Apis cerana homeobox protein abdominal-A homolog (LOC108000309), transcript variant X1, mRNA
XM_062085760.1	PREDICTED: Apis cerana dynein beta chain, ciliary (LOC107996250), mRNA
XR_009832870.1	PREDICTED: Apis cerana uncharacterized LOC114577329 (LOC114577329), ncRNA
XR_009832842.1	PREDICTED: Apis cerana uncharacterized LOC107997974 (LOC107997974), transcript variant X2, misc_RNA
XM_017061782.3	PREDICTED: Apis cerana CLIP-associating protein 1-A (LOC108001004), transcript variant X16, mRNA
XM_062084398.1	PREDICTED: Apis cerana NADPH oxidase 5 (LOC108004147), transcript variant X21, mRNA
XM_062084397.1	PREDICTED: Apis cerana NADPH oxidase 5 (LOC108004147), transcript variant X20, mRNA
