Country	Region	Species	Count	lat	lng
Algeria	Ain Sefra	Apis mellifera	30	28.0339	1.6596
Algeria	Ain Temouchent	Apis mellifera	2	28.0339	1.6596
Algeria	Annaba	Apis mellifera	1	28.0339	1.6596
Algeria	Bejaia	Apis mellifera	8	28.0339	1.6596
Algeria	Biskra	Apis mellifera	2	28.0339	1.6596
Algeria	Blida	Apis mellifera	6	28.0339	1.6596
Algeria	Chlef	Apis mellifera	3	28.0339	1.6596
Algeria	Djelfa	Apis mellifera	3	28.0339	1.6596
Algeria	El Bayadh	Apis mellifera	15	28.0339	1.6596
Algeria	Ghardaia	Apis mellifera	3	28.0339	1.6596
Algeria	Mascara	Apis mellifera	9	28.0339	1.6596
Algeria	Medea	Apis mellifera	25	28.0339	1.6596
Algeria	Mostaganem	Apis mellifera	16	28.0339	1.6596
Algeria	Oran	Apis mellifera	4	28.0339	1.6596
Algeria	Relizane	Apis mellifera	11	28.0339	1.6596
Algeria	Saida	Apis mellifera	2	28.0339	1.6596
Algeria	Sidi Bel Abbes	Apis mellifera	5	28.0339	1.6596
Algeria	Skikda	Apis mellifera	3	28.0339	1.6596
Algeria	Tissemsilet	Apis mellifera	1	28.0339	1.6596
Algeria	Tlemcen	Apis mellifera	2	28.0339	1.6596
Argentina	Unknown	Apis mellifera	96	-38.4161	-63.6167
Australia	Far North Queensland	Apis cerana	152	-25.2744	133.7751
Australia	Torres Strait, Boigu	Apis cerana	1	-25.2744	133.7751
Australia	Torres Strait, Dauan	Apis cerana	1	-25.2744	133.7751
Australia	Torres Strait, Saibai	Apis cerana	1	-25.2744	133.7751
Austria	Unknown	Apis mellifera	64	47.5162	14.5501
Brazil	Unknown	Apis mellifera	60	-14.235	-51.9253
China	Ankang, Shanxi, replicate 1	Apis cerana	1	35.8617	104.1954
China	Ankang, Shanxi, replicate 10	Apis cerana	1	35.8617	104.1954
China	Ankang, Shanxi, replicate 2	Apis cerana	1	35.8617	104.1954
China	Ankang, Shanxi, replicate 3	Apis cerana	1	35.8617	104.1954
